route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
国道・古川線(39052),平日,平日_07時50分_系統39052,A1青森駅（国道・古川線）,,,1,0,39052
横内環状(14021),平日,平日_07時50分_系統14021,J32横内環状→青森駅（中筒井線）,,,1,1,14021
造道・八重田線(44201),平日,平日_07時51分_系統44201,C12県立中央病院（造道・八重田線）,,,1,0,44201
沖館・新田線(45131),平日,平日_07時52分_系統45131,W53野木和団地（沖館・新田線）,,,0,0,45131
新町線(12142),平日,平日_07時52分_系統12142,B1明の星→青森駅（新町線）,,,1,1,12142
造道・八重田線(1041),平日,平日_07時53分_系統1041,C12古川→県立中央病院（造道・八重田線）,,,0,1,1041
明の星通り線(13071),平日,平日_07時53分_系統13071,G21沢山（明の星通り線）,,,0,1,13071
観光通り線(21021),平日,平日_07時57分_系統21021,K34市民病院（観光通り線）,,,0,1,21021
県立美術館線(36251),平日,平日_08時00分_系統36251,S51三内丸山遺跡（県立美術館線）,,,0,1,36251
国道・古川線(35162),平日,平日_08時00分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
浜田循環(80041),平日,平日_08時00分_系統80041,K35浜田循環→青森駅（観光通り線）,,,1,1,80041
国道・古川線(21022),平日,平日_08時04分_系統21022,A1青森駅（国道・古川線）,,,1,1,21022
新町線(3032),平日,平日_08時05分_系統3032,B1青森駅（新町線）,,,1,1,3032
国道・古川線(1021),平日,平日_08時05分_系統1021,A1青森駅（国道・古川線）,,,1,0,1021
造道・八重田線(45022),平日,平日_08時06分_系統45022,C10県病→東部〈営〉（造道・八重田線）,,,1,0,45022
造道・八重田線(25051),平日,平日_08時08分_系統25051,C13築木館（造道・八重田線）,,,0,1,25051
中筒井線(15031),平日,平日_08時10分_系統15031,J20昭和大仏（中筒井線）,,,0,1,15031
滝内・三内線(44241),平日,平日_08時10分_系統44241,R52つくしが丘病院（滝内・三内線）,,,0,0,44241
旭町通り線(28111),平日,平日_08時10分_系統28111,M43朝日放送（旭町通り線）,,,0,1,28111
観光通り線(21171),平日,平日_08時10分_系統21171,K34市民病院（観光通り線）,,,0,0,21171
石江・新城線(39122),平日,平日_08時12分_系統39122,T50西部〈営〉（石江・新城線）,,,0,0,39122
新町線(19032),平日,平日_08時12分_系統19032,B1中筒井→青森駅（新町線）,,,1,1,19032
明の星通り線(12081),平日,平日_08時12分_系統12081,G21戸山団地（明の星通り線）,,,0,1,12081
造道・八重田線(1041),平日,平日_08時13分_系統1041,C12古川→県立中央病院（造道・八重田線）,,,0,0,1041
造道・八重田線(36232),平日,平日_08時15分_系統36232,C10浪館→東部〈営〉（造道・八重田線）,,,1,1,36232
国道・古川線(21022),平日,平日_08時16分_系統21022,A1青森駅（国道・古川線）,,,1,1,21022
福祉増進センタ(48221),平日,平日_08時17分_系統48221,60しあわせプラザ（福祉増進センター）,,,1,0,48221
国道・古川線(6172),平日,平日_08時17分_系統6172,A1小柳団地→青森駅（国道・古川線）,,,1,1,6172
横内環状(14022),平日,平日_08時20分_系統14022,K32横内環状→青森駅（観光通り線）,,,1,1,14022
観光通り線(21051),平日,平日_08時21分_系統21051,K34市民病院（観光通り線）,,,1,0,21051
国道・古川線(28022),平日,平日_08時22分_系統28022,A1中央大橋→青森駅（国道・古川線）,,,1,1,28022
造道・八重田線(37042),平日,平日_08時22分_系統37042,C10県病→東部〈営〉（造道・八重田線）,,,1,1,37042
浪館通り線(35161),平日,平日_08時24分_系統35161,P40慈恵会病院（浪館通り線）,,,0,1,35161
造道・八重田線(12152),平日,平日_08時25分_系統12152,C10県病→東部〈営〉（造道・八重田線）,,,1,0,12152
福祉増進センタ(48231),平日,平日_08時25分_系統48231,60しあわせプラザ（福祉増進センター）,,,1,1,48231
国道・古川線(24012),平日,平日_08時27分_系統24012,A1観光通り→青森駅（国道・古川線）,,,1,1,24012
国道・古川線(1051),平日,平日_08時30分_系統1051,A1青森駅（国道・古川線）,,,1,0,1051
国道・古川線(16042),平日,平日_08時30分_系統16042,A1旭町→青森駅（国道・古川線）,,,1,1,16042
沖館・新田線(45131),平日,平日_08時30分_系統45131,W53野木和団地（沖館・新田線）,,,0,0,45131
国道・古川線(35162),平日,平日_08時30分_系統35162,A1青森駅（国道・古川線）,,,1,0,35162
造道・八重田線(1022),平日,平日_08時30分_系統1022,C10古川→東部〈営〉（造道・八重田線）,,,0,0,1022
観光通り線(24011),平日,平日_08時32分_系統24011,K33学校教育センター（観光通り線）,,,0,1,24011
松森・浜館線(12061),平日,平日_08時32分_系統12061,H21戸山団地（松森・浜館線）,,,0,0,12061
沖館・新田線(45141),平日,平日_08時33分_系統45141,W53野木和団地（沖館・新田線）,,,0,1,45141
国道・古川線(39062),平日,平日_08時33分_系統39062,A1青森駅（国道・古川線）,,,1,1,39062
国道・古川線(21022),平日,平日_08時35分_系統21022,A1青森駅（国道・古川線）,,,1,1,21022
浜田循環(80031),平日,平日_08時35分_系統80031,M35浜田循環→青森駅（旭町通り線）,,,1,1,80031
石江・新城線(56041),平日,平日_08時35分_系統56041,T50東バイパス→西部〈営〉（石江・新城線）,,,1,0,56041
造道・八重田線(49021),平日,平日_08時36分_系統49021,C11浅虫温泉駅（造道・八重田線）,,,0,1,49021
新町線(12062),平日,平日_08時36分_系統12062,B1浜館→青森駅（新町線）,,,1,1,12062
造道・八重田線(45022),平日,平日_08時36分_系統45022,C10県病→東部〈営〉（造道・八重田線）,,,1,0,45022
造道・八重田線(38102),平日,平日_08時38分_系統38102,C12県立中央病院（造道・八重田線）,,,1,0,38102
新町線(19032),平日,平日_08時38分_系統19032,B1中筒井→青森駅（新町線）,,,1,0,19032
新町線(9022),平日,平日_08時38分_系統9022,B1中筒井→青森駅（新町線）,,,1,1,9022
新町線(15032),平日,平日_08時39分_系統15032,B1中筒井→青森駅（新町線）,,,1,1,15032
造道・八重田線(22072),平日,平日_08時39分_系統22072,C10県病→東部〈営〉（造道・八重田線）,,,1,0,22072
石江・新城線(39101),平日,平日_08時40分_系統39101,T50西部〈営〉（石江・新城線）,,,0,1,39101
新町線(49022),平日,平日_08時40分_系統49022,B1青森駅（新町線）,,,1,1,49022
国道・古川線(1021),平日,平日_08時41分_系統1021,A1青森駅（国道・古川線）,,,1,0,1021
観光通り線(22021),平日,平日_08時45分_系統22021,K37問屋町（観光通り線）,,,0,0,22021
造道・八重田線(41061),平日,平日_08時45分_系統41061,C12西バイパス→県病（造道・八重田線）,,,1,1,41061
西バイパス線(41132),平日,平日_08時45分_系統41132,U50西部〈営〉（西バイパス線）,,,0,1,41132
浪館通り線(35141),平日,平日_08時47分_系統35141,P40慈恵会病院（浪館通り線）,,,0,1,35141
県立美術館線(36251),平日,平日_08時48分_系統36251,S51三内丸山遺跡（県立美術館線）,,,0,1,36251
造道・八重田線(1052),平日,平日_08時49分_系統1052,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1052
国道・古川線(47032),平日,平日_08時49分_系統47032,A1青森駅（国道・古川線）,,,1,0,47032
国道・古川線(21022),平日,平日_08時49分_系統21022,A1青森駅（国道・古川線）,,,1,1,21022
造道・八重田線(45022),平日,平日_08時49分_系統45022,C10県病→東部〈営〉（造道・八重田線）,,,1,0,45022
観光通り線(22031),平日,平日_08時50分_系統22031,K37問屋町（観光通り線）,,,0,0,22031
石江・新城線(39051),平日,平日_08時50分_系統39051,T50西部〈営〉（石江・新城線）,,,0,1,39051
石江・新城線(22032),平日,平日_08時50分_系統22032,T50西部〈営〉（石江・新城線）,,,1,0,22032
横内環状(14021),平日,平日_08時50分_系統14021,J32横内環状→青森駅（中筒井線）,,,1,0,14021
旭町通り線(37031),平日,平日_08時54分_系統37031,M42南高校（旭町通り線）,,,0,1,37031
石江・新城線(39181),平日,平日_08時57分_系統39181,T50西部〈営〉（石江・新城線）,,,0,1,39181
国道・古川線(6172),平日,平日_08時58分_系統6172,A1小柳団地→青森駅（国道・古川線）,,,1,0,6172
浜田循環(80041),平日,平日_09時00分_系統80041,K35浜田循環→青森駅（観光通り線）,,,1,1,80041
石江・新城線(16052),平日,平日_09時00分_系統16052,T50西部〈営〉（石江・新城線）,,,1,1,16052
滝内・三内線(44241),平日,平日_09時00分_系統44241,R52つくしが丘病院（滝内・三内線）,,,0,0,44241
明の星通り線(12081),平日,平日_09時02分_系統12081,G21戸山団地（明の星通り線）,,,0,0,12081
造道・八重田線(38032),平日,平日_09時03分_系統38032,C10県病→東部〈営〉（造道・八重田線）,,,1,0,38032
造道・八重田線(16092),平日,平日_09時05分_系統16092,C10中筒井→東部〈営〉（造道・八重田線）,,,1,1,16092
国道・古川線(33092),平日,平日_09時05分_系統33092,A1中大野→青森駅（国道・古川線）,,,1,1,33092
新町線(13072),平日,平日_09時06分_系統13072,B1明の星→青森駅（新町線）,,,1,1,13072
小柳線(6161),平日,平日_09時06分_系統6161,F10東部〈営〉（小柳線(桜川経由)）,,,0,1,6161
観光通り線(21151),平日,平日_09時08分_系統21151,K34市民病院（観光通り線）,,,0,1,21151
造道・八重田線(21102),平日,平日_09時10分_系統21102,C10県病→東部〈営〉（造道・八重田線）,,,1,0,21102
